event_id,title,date_start,date_end,city,location_name,category,description,url
54801773,Éclats en Échos par Felice Varini,2025-04-26 08:00:00+00:00,2025-04-26 16:00:00+00:00,Lille,Palais des Beaux-Arts de Lille,,"Créées spécialement par l'artiste Felice Varini au cœur du musée, 3 œuvres monumentales, aux formes géométriques saisissantes, transformeront votre perception de plusieurs espaces autour de l’atrium.",
27046747,TISSER_MÉTISSER par les Mots voyageurs,2025-05-17 06:00:00+00:00,2025-05-17 19:00:00+00:00,Lille,Halles de Wazemmes,,"Installation éphémère dans le cadre de fiesta, 7ème édition de lille3000",
18312133,A vous de jouer !,2025-06-28 12:30:00+00:00,2025-06-28 16:00:00+00:00,Lille,Médiathèque de Lille Sud,,"La ludothèque ""Temps de jeux"" pose ses valises à la médiathèque le temps de l'après-midi.",
59269452,Inna Di Place #2,2025-08-30 12:00:00+00:00,2025-08-30 18:00:00+00:00,Lille,FIVES CAIL,,"Au programme de cette fête de quartier gratuite célébrant les cultures afro-caribéennes : initiation roller, danse et graff, battle de danse, showcase et DJ set dans une ambiance conviviale !",
23560893,Le temps des histoires,2025-09-03 14:00:00+00:00,2025-09-03 14:30:00+00:00,Lille,Médiathèque de Fives,,Lectures partagées en famille,
29612946,Journées Européennes du Patrimoine,2025-09-20 08:00:00+00:00,2025-09-20 16:00:00+00:00,Lille,Musée des écoles,"musée, musée des écoles, classe d'autrefois, buvards, réclame, la réclame par les buvards, Salengro, Roger Salengro, Beffroi, Beffroi de Lille, UNESCO","Expos : Réclame par les buvards - Roger Salengro, 100ème anniversaire de sa nomination de maire - Beffroi de l'Hôtel de Ville : 20ème anniversaire du classement UNESCO.* DIctée du Certif * Livret-jeux",
32473042,"Kilikili, la lecture d’histoires pour les petits",2025-09-24 08:30:00+00:00,2025-09-24 09:00:00+00:00,Lille,Médiathèque Vieux-Lille,,"Vous explorez avec votre bibliothécaire des albums, contes et légendes pour les enfants de 4 à 7 ans. Ce temps de lecture prépare vos enfants au plaisir de lire et laisse une place à l’imaginaire !",
87574892,Minikili : la lecture d'histoires pour les tout-petits,2025-09-27 08:30:00+00:00,2025-09-27 09:00:00+00:00,Lille,Médiathèque Vieux-Lille,,Un moment privilégié à la bibliothèque (pour les 0-3 ans) !,
63802927,Les Ateliers du mercredi !,2025-10-01 13:00:00+00:00,2025-10-01 15:00:00+00:00,Lille,Maison de quartier du Vieux-Lille,"Danse, enfants, classique, expression, Lille, Vieux-Lille, 6-7 ans, 8-11 ans, Maison de quartier Godeleine Petit, cours de danse, atelier de danse, danse expression, cours de danse classique",Cours hebdomadaires de danse pour enfants,
27789143,À vous de jouer à la bibliothèque !,2025-10-04 08:30:00+00:00,2025-10-04 10:00:00+00:00,Lille,médiathèque de Fives,,Des jeux coopératifs à partager en famille (dès 4 ans) ! Avec l'association L'école et son quartier,
48450762,Amazing | Dîner-spectacle,2025-11-14 18:30:00+00:00,2025-11-14 22:30:00+00:00,Lille,Casino Barrière de Lille,"spectacle, spectacle musical, comédie musicale, cabaret",The musical show,
1637511,Amazing | Cocktail-spectacle,2025-11-14 20:00:00+00:00,2025-11-14 22:30:00+00:00,Lille,Casino Barrière de Lille,"spectacle, spectacle musical, comédie musicale, cabaret",The musical show,
89876744,Amazing | Spectacle seul,2025-11-14 20:00:00+00:00,2025-11-14 22:30:00+00:00,Lille,Casino Barrière de Lille,"spectacle, spectacle musical, comédie musicale, cabaret",The musical show,
90503179,Visite guidée de la Maison natale Charles de Gaulle,2025-11-22 10:00:00+00:00,2025-11-22 11:00:00+00:00,Lille,Maison natale Charles de Gaulle,,« Là où tout a commencé »,
88613745,Bon plan pour grands-parents !,2025-12-23 13:00:00+00:00,2025-12-23 15:15:00+00:00,Lille,Musée des écoles,"musée, classe d'antan, classe d'autrefois, école d'antan, école d'autrefois, écomusée, musée des écoles, école à l'ancienne","Grands-parents, venez donc montrer à vos petits-enfants l'école d'autrefois.  Machine à remonter le temps : venez vous asseoir sur des bancs d’école, retrouvez cette atmosphère de cire et d'encre.",
57525158,Visite guidée de l'ancien Hospice Gantois,2026-01-06 13:30:00+00:00,2026-01-06 14:30:00+00:00,Lille,Hermitage Gantois,"patrimoine, histoire, patrimoine hospitalier, visite guidée, visite, Lille",Visite guidée de l'ancien Hospice Gantois de Lille proposée par l'Association du Musée Hospitalier Régional de Lille.,
8875231,Stage adulte - Sténopé et expérimentation en photographie argentique,2026-01-10 12:00:00+00:00,2026-01-10 15:00:00+00:00,Lille,Centre d'Arts Plastiques et Visuels,,Initiez-vous aux pratiques de l'image !,
30055337,"Kili et plus, lectures partagées et atelier créatif en bibliothèque",2026-01-21 14:00:00+00:00,2026-01-21 15:30:00+00:00,Lille,Médiathèque de Wazemmes,,"Séance de “lecture augmentée” ! A chaque séance, une thématique et un petit + surprenant pour accompagner la lecture.",
44513185,"Kilikili, la lecture d’histoires pour les petits",2026-01-31 09:00:00+00:00,2026-01-31 10:00:00+00:00,Lille,Ludothèque du centre social de Faubourg de Béthune,,"La bibliothèque...hors-les-murs ! Vous explorez avec votre bibliothécaire des albums, contes et légendes pour les enfants de 4 à 7 ans.",
71571612,Une classe d'autrefois,2026-02-07 13:00:00+00:00,2026-02-07 15:15:00+00:00,Lille,Musée des écoles,"musée, classe d'autrefois, classe à l'ancienne, musée des écoles, classe d'antan, dictée, dictée à la plume","Venez vous réchauffer auprès du poêle, le 07/02. Le Maître d’école vous expliquera tout.* Vous ferez une dictée à la plume et à l’encre.  * En prime, vous verrez 3 expos.",
90921810,Éveil musical à la bibliothèque,2026-02-11 09:30:00+00:00,2026-02-11 10:00:00+00:00,Lille,"Maison du projet ""En attendant la médiathèque""",,Jeux musicaux et jeux de mots (pour les 0-3 ans) !,
81843348,"Kili et plus, lectures partagées et ludiques en bibliothèque",2026-02-11 14:00:00+00:00,2026-02-11 15:00:00+00:00,Lille,Médiathèque de Moulins (Lille),,Une lecture partagée + un atelier créatif = un temps heureux à la médiathèque !,
4286430,Exposition - Les corps élastiques,2026-02-12 17:30:00+00:00,2026-02-12 20:00:00+00:00,Lille,Théâtre du Nord,,"L’Institut pour la photographie investit le Théâtre du Nord pour présenter Les corps élastiques de Lucie Pastureau. Une exposition photo où images, voix et textes évoquent transitions et émancipation.",
59170813,Format à l'italienne XVI - Exposition,2026-02-13 13:00:00+00:00,2026-02-13 18:00:00+00:00,Lille,Espace Le Carré,,"Pour cette 16e édition, Format à l’italienne rassemble les trois lauréats du Prix Wicar 2025 : Younès Ben Slimane, Marie Charpentier et Théo Romain-Sobota",
43607819,"Kili et plus, lectures partagées et atelier créatif en bibliothèque",2026-02-14 14:30:00+00:00,2026-02-14 16:00:00+00:00,Lille,Médiathèque de Bois-Blancs,,Une lecture partagée + un atelier créatif = un temps heureux à la médiathèque !,
